City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,airai,-8.9266,125.4092,14.83,95,99,1.07,TL,1678031187
153,aswan,24.0934,32.907,35.61,16,0,4.12,EG,1678031187
154,broome,42.2506,-75.833,4.64,80,100,4.12,US,1678031188
155,nicoya,10.1483,-85.452,33.07,40,61,6.04,CR,1678031188
156,avarua,-21.2078,-159.775,28.03,89,75,7.72,CK,1678031188
157,cidreira,-30.1811,-50.2056,24.73,82,47,6.17,BR,1678031189
158,cabo san lucas,22.8909,-109.9124,20.84,58,0,1.54,MX,1678031165
159,new norfolk,-42.7826,147.0587,17.72,75,93,0.89,AU,1678031189
160,omboue,-1.5746,9.2618,28.77,73,79,4.45,GA,1678031190
161,hithadhoo,-0.6,73.0833,28.19,69,5,1.22,MV,1678031190
162,koslan,63.4564,48.8989,-21.09,100,40,1.61,RU,1678031190
163,aklavik,68.2191,-135.0107,-33.0,75,0,2.06,CA,1678031191
164,nemuro,43.3236,145.575,-0.64,85,5,3.79,JP,1678031192
165,esperance,-33.8667,121.9,17.43,73,0,5.27,AU,1678031192
166,padang,-0.9492,100.3543,26.03,89,100,2.03,ID,1678031192
167,lompoc,34.6391,-120.4579,10.33,93,100,2.06,US,1678031193
168,itoman,26.1247,127.6694,16.01,59,2,2.57,JP,1678031193
169,thompson,55.7435,-97.8558,-16.91,85,75,3.09,CA,1678031193
170,nome,64.5011,-165.4064,-1.96,93,100,10.8,US,1678031194
171,piranhas,-16.4269,-51.8222,31.27,56,46,2.07,BR,1678031194
172,otane,-39.8833,176.6333,13.34,96,100,2.3,NZ,1678031195
173,cedar hill,32.5885,-96.9561,19.74,72,0,6.17,US,1678031195
174,nyagan,62.1406,65.3936,-11.83,99,98,1.19,RU,1678031196
175,rongcheng,30.634,117.8517,13.49,47,0,1.68,CN,1678031196
176,karoi,-16.8099,29.6925,21.55,86,96,2.08,ZW,1678031197
177,hamilton,39.1834,-84.5333,11.6,63,20,2.57,US,1678031130
178,mastic beach,40.7668,-72.8521,8.95,64,40,5.66,US,1678031197
179,hartselle,34.4434,-86.9353,17.84,64,0,2.91,US,1678031197
180,touros,-5.1989,-35.4608,29.49,64,100,6.42,BR,1678031048
181,kruisfontein,-34.0033,24.7314,21.05,95,98,6.5,ZA,1678031198
182,leh,34.1667,77.5833,-10.2,86,97,0.64,IN,1678031198
183,selcuk,37.9514,27.3685,13.34,87,49,1.36,TR,1678031199
184,derzhavinsk,51.1,66.3167,-4.76,94,86,5.41,KZ,1678031199
185,tjome,59.1109,10.3933,4.39,28,0,3.6,NO,1678031199
186,evinayong,1.4368,10.5512,23.29,92,99,2.05,GQ,1678031200
187,atherton,53.5237,-2.4935,7.92,74,100,1.34,GB,1678031200
188,husavik,66.0449,-17.3389,-2.85,71,100,3.8,IS,1678031200
189,brae,60.3964,-1.353,2.57,72,100,4.88,GB,1678031201
190,yershov,51.3513,48.2766,-1.93,81,33,6.82,RU,1678031201
191,xichang,27.8964,102.2634,13.72,62,89,1.78,CN,1678031201
192,ewa beach,21.3156,-158.0072,20.97,91,75,1.54,US,1678031202
193,acajutla,13.5928,-89.8275,29.27,59,16,2.57,SV,1678031202
194,turukhansk,65.8167,87.9833,-19.95,99,100,2.59,RU,1678031202
195,hasaki,35.7333,140.8333,8.22,61,100,4.94,JP,1678031203
196,yellowknife,62.456,-114.3525,-31.71,75,20,2.57,CA,1678031107
197,portland,45.5234,-122.6762,2.57,94,100,1.79,US,1678030932
198,eureka,40.8021,-124.1637,4.58,91,100,1.34,US,1678031132
199,gravdal,68.1214,13.5031,-5.06,93,40,1.54,NO,1678031203
200,pacific grove,36.6177,-121.9166,7.46,88,100,3.6,US,1678031203
201,tecoanapa,16.5167,-98.75,26.94,69,95,1.62,MX,1678031204
202,beloha,-25.1667,45.05,21.66,94,100,8.55,MG,1678031204
203,liverpool,53.4106,-2.9779,8.49,76,75,5.66,GB,1678031204
204,tambun,-6.2641,107.0712,26.13,78,90,3.14,ID,1678031205
205,kuzino,57.0224,59.4412,-2.54,97,100,3.85,RU,1678031205
206,phan thiet,10.9333,108.1,21.68,71,100,4.58,VN,1678031206
207,waipawa,-41.4122,175.5153,10.73,79,95,3.55,NZ,1678031206
208,srimushnam,11.4,79.4167,23.24,80,70,3.12,IN,1678031207
209,egvekinot,66.3167,-179.1667,-9.86,95,100,3.62,RU,1678031207
210,guangyuan,32.442,105.823,16.42,53,100,1.05,CN,1678031207
211,dumbravita,45.7667,25.4333,5.66,60,99,4.33,RO,1678031207
